Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
Naples: A Globally-Networked City and Transregional Infrastructural Node in Southern Italy,,2018-01-01,2018.0,2018-06-01,2018.0,University of Louisville; University of Naples Federico II,University of Naples Federico II; University of Louisville,Italy; United States,Council for International Exchange of Scholars,,United States,,,,,,,,,naples  global hub
Quantitative X-Ray Powder Diffraction and Chemical Analysis of Pompeian Ceramic Source Materials and Preparation Conditions,,2018-01-01,2018.0,2018-06-01,2018.0,Indiana University Bloomington; University of Naples Federico II,University of Naples Federico II; Indiana University Bloomington,Italy; United States,Council for International Exchange of Scholars,,United States,34 Chemical Sciences; 3402 Inorganic Chemistry,,,,,,,,pompeian ceramic
History of Italy (1770-1870): The Path to Modernity,,2018-01-01,2018.0,2021-12-31,2021.0,Saarland University; University of Trier; Leipzig University; University of Naples Federico II; University of Eastern Piedmont Amadeo Avogadro,Saarland University; University of Trier; Leipzig University; University of Naples Federico II; University of Eastern Piedmont Amadeo Avogadro,Germany; Germany; Germany; Italy; Italy,Deutsche Forschungsgemeinschaft,,Germany,"43 History, Heritage and Archaeology; 4303 Historical Studies; 47 Language, Communication and Culture",,,,,,D28 History,,modern italy
Didactic Platonism: a System of Thought and its Metaphysical Patterns / Anti-Dogmatic Patterns,,2018-01-01,2018.0,2022-12-31,2022.0,University of Naples Federico II; University of Turin,University of Naples Federico II; University of Turin,Italy; Italy,Deutsche Forschungsgemeinschaft,,Germany,50 Philosophy and Religious Studies; 5002 History and Philosophy Of Specific Fields; 5003 Philosophy,,,,,,D30 Philosophy,,platonism's impact
Optimal System-Mix Of flexibility Solutions for European electricity,21207868.0,2018-01-01,2018.0,2022-04-30,2022.0,"Paris Dauphine University; HYDRO DOLOMITI ENERGIA SRL; IBM (Italy); Schneider Electric (France); HOLDING SLOVENSKE ELEKTRARNE DOO; University of Las Palmas de Gran Canaria; ELEKTROENERGETSKI KOORDINACIONI CENTAR DOO; CENTRO DE INVESTIGACAO EM ENERGIA REN - STATE GRID SA; COMPENDIA SRL; Consorzio Interuniversitario Nazionale EnSiEL; Atomic Energy and Alternative Energies Commission; RED ELECTRICA Y DE TELECOMUNICACIONES INNOVACION Y TECNOLOGIA SA; University of Naples Federico II; Red Electrica de Espana (Spain); Polytechnic University of Bari; University of Cagliari; École Polytechnique Fédérale de Lausanne; University of Duisburg-Essen; University of Padua; ABB (Italy); ENEL GREEN POWER SPA; Terna (Italy); Technical University of Berlin; University of Pisa; Schneider Electric (Spain); TERNA RETE ITALIA SPA; HSE INVEST DRUZBA ZA INZENIRING INIZGRADNJO ENERGETSKIH OBJEKTOV DOO; Redes Energéticas Nacionais (Portugal); Enel (Italy); Ricerca sul Sistema Energetico (Italy); Elia (Belgium); ELIA ENGINEERING SA; Efacec (Portugal); ENEL X ITALIA SRL; Fondazione Bruno Kessler; Polytechnic University of Turin; IT4POWER GMBH; Ingeteam (Spain); University of Sannio; Politecnico di Milano; University of Bologna; FUNDACION CENER; University of Campania Luigi Vanvitelli; Électricité de France (France); GREEN POWER TECHNOLOGIES SL; EDISON SPA; INGETEAM R&D EUROPE, S.L.; Engineering (Italy); University of Genoa; DOLOMITI ENERGIA TRADING SPA; ELES DOO SISTEMSKI OPERATER PRENOSNEGA ELEKTROENERGETSKEGA OMREZJA; EDISON RINNOVABILI SPA; Saft (France)",Électricité de France (France); Paris Dauphine University; IBM (Italy); Schneider Electric (France); University of Las Palmas de Gran Canaria; Consorzio Interuniversitario Nazionale EnSiEL; Atomic Energy and Alternative Energies Commission; University of Naples Federico II; Red Electrica de Espana (Spain); Polytechnic University of Bari; University of Cagliari; École Polytechnique Fédérale de Lausanne; University of Duisburg-Essen; University of Padua; ABB (Italy); Terna (Italy); Technical University of Berlin; University of Pisa; Schneider Electric (Spain); Redes Energéticas Nacionais (Portugal); Enel (Italy); Ricerca sul Sistema Energetico (Italy); Elia (Belgium); Efacec (Portugal); Fondazione Bruno Kessler; Polytechnic University of Turin; Ingeteam (Spain); University of Sannio; Politecnico di Milano; University of Bologna; University of Campania Luigi Vanvitelli; Engineering (Italy); University of Genoa; Saft (France),France; France; Italy; France; Spain; Italy; France; Italy; Spain; Italy; Italy; Switzerland; Germany; Italy; Italy; Italy; Germany; Italy; Spain; Portugal; Italy; Italy; Belgium; Portugal; Italy; Italy; Spain; Italy; Italy; Italy; Italy; Italy; Italy; France,European Commission,cOAlition S; EC & ERC - European Union,Belgium,40 Engineering; 4008 Electrical Engineering,,,,,,B12 Engineering,7 Affordable and Clean Energy,flexible eu power
Virtual Materials Market Place (VIMMP),7992278.0,2018-01-01,2018.0,2022-06-30,2022.0,Institute of Chemical Process Fundamentals; French Institute for Research in Computer Science and Automation; GOLDBECK CONSULTING LIMITED; STRAETMANS HIGH TAC GMBH; University of Manchester; Continental (Germany); OSTHUS GMBH; Électricité de France (France); Fraunhofer Society; UNILEVER INNOVATION CENTRE WAGENINGEN BV; IBM Research - Zurich; University of Naples Federico II; École Polytechnique Fédérale de Lausanne; IBM (United Kingdom); UNITED KINGDOM RESEARCH AND INNOVATION; SIEMENS INDUSTRY SOFTWARE NETHERLANDS BV; Polytechnic University of Turin,Fraunhofer Society; Institute of Chemical Process Fundamentals; French Institute for Research in Computer Science and Automation; University of Manchester; Continental (Germany); Électricité de France (France); IBM Research - Zurich; University of Naples Federico II; École Polytechnique Fédérale de Lausanne; IBM (United Kingdom); Polytechnic University of Turin,Germany; Czechia; France; United Kingdom; Germany; France; Switzerland; Italy; Switzerland; United Kingdom; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,40 Engineering; 4014 Manufacturing Engineering,,,,,,B12 Engineering,,vimmp's impact
Adeno-Associated Virus Vector-Mediated Liver Gene Therapy for Crigler-Najjar Syndrome,6249104.0,2018-01-01,2018.0,2023-06-30,2023.0,Ospedale Papa Giovanni XXIII; GenoSafe; Assistance Publique - Hôpitaux de Paris; European Research and Project Office; University of Naples Federico II; Hannover Medical School; ASSOCIATION FRANCAISE DE CRIGLER NAJJAR; University of Leicester; FONDAZIONE PER LA RICERCA OSPEDALE MAGGIORE DE BERGAMO; MC TOXICOLOGY CONSULTING GMBH; Genethon (France); Academic Medical Center,Genethon (France); Ospedale Papa Giovanni XXIII; GenoSafe; Assistance Publique - Hôpitaux de Paris; European Research and Project Office; University of Naples Federico II; Hannover Medical School; University of Leicester; Academic Medical Center,France; Italy; France; France; Germany; Italy; Germany; United Kingdom; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,32 Biomedical and Clinical Sciences; 3206 Medical Biotechnology,Biotechnology; Clinical Research; Digestive Diseases; Gene Therapy; Genetics; Liver Disease; Rare Diseases,,5.2 Cellular and gene therapies,,,A01 Clinical Medicine,,gene therapy for cns
An integrated approach to plant adaptation,643077.0,2018-01-01,2018.0,2022-12-31,2022.0,University of Zurich; University of Naples Federico II; University of Hohenheim,University of Zurich; University of Naples Federico II; University of Hohenheim,Switzerland; Italy; Germany,Swiss National Science Foundation,cOAlition S,Switzerland,"30 Agricultural, Veterinary and Food Sciences; 3004 Crop and Pasture Production; 31 Biological Sciences; 3103 Ecology",,,,,,A05 Biological Sciences,,plant adapt
Photocatalytic Anodic Metal Membranes for Micropollutant Removal,1449239.0,2018-01-01,2018.0,2023-07-30,2023.0,University of Bath; University of Naples Federico II; University of Pavia; São Paulo State University,University of Bath; University of Naples Federico II; University of Pavia; São Paulo State University,United Kingdom; Italy; Italy; Brazil,Engineering and Physical Sciences Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,40 Engineering; 4004 Chemical Engineering; 41 Environmental Sciences; 4105 Pollution and Contamination,,,,,,B12 Engineering,7 Affordable and Clean Energy,removing micro-pollutants
Double Dynamics for design of new responsive polymer networks and gels,3340690.0,2017-11-01,2017.0,2021-10-31,2021.0,DSM MATERIALS SCIENCE CENTER BV; Johannes Gutenberg University of Mainz; ECOLE SUPERIEURE DE PHYSIQUE ET DECHIMIE INDUSTRIELLES DE LA VILLE DEPARIS; University of Naples Federico II; IDRYMA TECHNOLOGIAS KAI EREVNAS; Université Catholique de Louvain; ALLNEX BELGIUM; Beiersdorf (Germany); Technical University of Denmark; French National Centre for Scientific Research,Université Catholique de Louvain; Johannes Gutenberg University of Mainz; University of Naples Federico II; Beiersdorf (Germany); Technical University of Denmark; French National Centre for Scientific Research,Belgium; Germany; Italy; Germany; Denmark; France,European Commission,cOAlition S; EC & ERC - European Union,Belgium,34 Chemical Sciences; 3403 Macromolecular and Materials Chemistry; 40 Engineering; 4003 Biomedical Engineering,Bioengineering,Generic health relevance,,,,B12 Engineering,,designing polymer gel
STARGAZIN AS A REGULATOR OF M-CURRENTS IN THE CENTRAL NERVOUS SYSTEM,75083.0,2017-10-01,2017.0,2021-11-30,2021.0,University of Coimbra; University of Naples Federico II,University of Coimbra; University of Naples Federico II,Portugal; Italy,Fundação para a Ciência e Tecnologia,cOAlition S,Portugal,,,,,,,,,m-currents regulated by stargazin
Control Engineering of Biological Systems for Reliable Synthetic Biology Applications,2975345.0,2017-10-01,2017.0,2021-03-31,2021.0,French Institute for Research in Computer Science and Automation; Telethon Foundation; Imperial College London; University of Naples Federico II; ETH Zurich; University of Bristol; Université Paris-Cité; French National Centre for Scientific Research; University of Edinburgh,Telethon Foundation; French Institute for Research in Computer Science and Automation; Imperial College London; University of Naples Federico II; ETH Zurich; University of Bristol; Université Paris-Cité; French National Centre for Scientific Research; University of Edinburgh,Italy; France; United Kingdom; Italy; Switzerland; United Kingdom; France; France; United Kingdom,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 3101 Biochemistry and Cell Biology; 40 Engineering,Bioengineering; Biotechnology,Generic health relevance,1.1 Normal biological development and functioning; 1.3 Chemical and physical sciences,Not Site-Specific Cancer,,B12 Engineering,,synthetic bio ctrl
International Training Network for Statistics in High Energy Physics and Society,3014504.0,2017-09-01,2017.0,2022-02-28,2022.0,PANGEA FORMAZIONE SRL; Ludwig-Maximilians-Universität München; Digitalcomoedia S.r.L.; Lund University; Technical University of Munich; University of Naples Federico II; FISCAL Technologies Ltd; University of Padua; Yandex (Russia); CICERO Center for International Climate Research; European Organization for Nuclear Research; University of Oslo; National Institute of Geophysics and Volcanology; Max Planck Society; Deutsches Elektronen-Synchrotron DESY; Dutch Research Council; University of Edinburgh; University of Amsterdam; Royal Holloway University of London; National Laboratory of Frascati,Royal Holloway University of London; Ludwig-Maximilians-Universität München; Lund University; Technical University of Munich; University of Naples Federico II; University of Padua; Yandex (Russia); CICERO Center for International Climate Research; European Organization for Nuclear Research; University of Oslo; National Institute of Geophysics and Volcanology; Max Planck Society; Deutsches Elektronen-Synchrotron DESY; Dutch Research Council; University of Edinburgh; University of Amsterdam; National Laboratory of Frascati,United Kingdom; Germany; Sweden; Germany; Italy; Italy; Russia; Norway; Switzerland; Norway; Italy; Germany; Germany; Netherlands; United Kingdom; Netherlands; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,B09 Physics,,statistical impact on society
Science for Clean Energy,9785730.0,2017-09-01,2017.0,2020-12-31,2020.0,NIS AD NOVI SAD; MIRICO LTD; University of Salerno; Claude Bernard University Lyon 1; Imperial College London; University of Western Brittany; University of Naples Federico II; Eni (Italy); NAFTAGAS-NAFTNI SERVISI DOO NOVI SAD; VULCAN ENERGY SUBSURFACE SOLUTIONS; GEOMECON GMBH; Institut de Physique du Globe de Paris; ARMINES; Institut Mines-Télécom; Scientific Computing & Modelling (Netherlands); ETH Zurich; STADT ST. GALLEN; HAELIXA AG; Reykjavík Energy (Iceland); NAUCNO-TEHNOLOSKI CENTAR NIS-NAFTAGAS DRUSTVO SA OGRANICENOM ODGOVORNOSCU NOVI SAD; University College London; French National Centre for Scientific Research; GEOTHERMAL ENGINEERING LTD; University of Eastern Finland; University of Iceland; The Welding Institute; Q-CON GMBH; Institute of Geophysics,University College London; University of Salerno; Claude Bernard University Lyon 1; Imperial College London; University of Western Brittany; University of Naples Federico II; Eni (Italy); Institut de Physique du Globe de Paris; ARMINES; Institut Mines-Télécom; Scientific Computing & Modelling (Netherlands); ETH Zurich; Reykjavík Energy (Iceland); French National Centre for Scientific Research; University of Eastern Finland; University of Iceland; The Welding Institute; Institute of Geophysics,United Kingdom; Italy; France; United Kingdom; France; Italy; Italy; France; France; France; Netherlands; Switzerland; Iceland; France; Finland; Iceland; United Kingdom; Poland,European Commission,cOAlition S; EC & ERC - European Union,Belgium,37 Earth Sciences; 3705 Geology,,,,,,B12 Engineering,7 Affordable and Clean Energy,clean energy sci
Engineering FUngal Networks for Ground Improvement (Engineering FUNGI),113335.0,2017-08-20,2017.0,2020-03-03,2020.0,University of Strathclyde; University of Naples Federico II,University of Strathclyde; University of Naples Federico II,United Kingdom; Italy,Engineering and Physical Sciences Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,33 Built Environment and Design; 3302 Building; 40 Engineering; 4005 Civil Engineering,Bioengineering,,,,,"B12 Engineering; C13 Architecture, Built Environment and Planning",,engineering fungi
NEw WindowS on the universe and technological advancements from trilateral EU-US-Japan collaboration,1566000.0,2017-07-01,2017.0,2023-06-30,2023.0,NATIONAL UNIVERSITY CORPORATION THEUNIVERSITY OF TOKYO; Triad National Security (United States); Tomsk Polytechnic University; University of Cambridge; Royal Institute of Technology; CLEVER OPERATION; University of Manchester; University of Missouri; Dalarna University; JEFFERSON SCIENCE ASSOCIATES LLC; IMPEX HIGHTECH GMBH; University of Naples Federico II; Université Catholique de Louvain; Iowa State University; Prisma Electronics (Greece); Massachusetts Institute of Technology; University of Florida; University of Pisa; Faraday Technology (United States); Autonomous University of Barcelona; University of Hong Kong; California Institute of Technology; National Institutes of Natural Sciences; Hiroshima University; European Organization for Nuclear Research; National Aeronautics and Space Administration; Politecnico di Milano; Fermi Research Alliance; University of Genoa; Texas A&M University System; University College London; University of Perugia; French National Centre for Scientific Research; McGill University; Helmholtz-Zentrum Dresden-Rossendorf; Sapienza University of Rome; Stanford University; European Gravitational Observatory; Stockholm University; National Laboratory of Frascati,National Laboratory of Frascati; Triad National Security (United States); Tomsk Polytechnic University; University of Cambridge; Royal Institute of Technology; University of Manchester; University of Missouri; Dalarna University; University of Naples Federico II; Université Catholique de Louvain; Iowa State University; Prisma Electronics (Greece); Massachusetts Institute of Technology; University of Florida; University of Pisa; Faraday Technology (United States); Autonomous University of Barcelona; University of Hong Kong; California Institute of Technology; National Institutes of Natural Sciences; Hiroshima University; European Organization for Nuclear Research; National Aeronautics and Space Administration; Politecnico di Milano; Fermi Research Alliance; University of Genoa; Texas A&M University System; University College London; University of Perugia; French National Centre for Scientific Research; McGill University; Helmholtz-Zentrum Dresden-Rossendorf; Sapienza University of Rome; Stanford University; European Gravitational Observatory; Stockholm University,Italy; United States; Russia; United Kingdom; Sweden; United Kingdom; United States; Sweden; Italy; Belgium; United States; Greece; United States; United States; Italy; United States; Spain; China; United States; Japan; Japan; Switzerland; United States; Italy; United States; Italy; United States; United Kingdom; Italy; France; Canada; Germany; Italy; United States; Italy; Sweden,European Commission,cOAlition S; EC & ERC - European Union,Belgium,51 Physical Sciences; 5101 Astronomical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,B09 Physics,,eu-us-japan  universe tech
Evolutionary rescue and the limits to phenotypic plasticity: testing theory in the field,275309.0,2017-06-11,2017.0,2021-11-11,2021.0,University of Oxford; University of Naples Federico II; University of Bristol; University of Catania; Piante Faro,University of Oxford; University of Naples Federico II; University of Bristol; University of Catania,United Kingdom; Italy; United Kingdom; Italy,Natural Environment Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 41 Environmental Sciences; 4101 Climate Change Impacts and Adaptation,Genetics,,,,,A05 Biological Sciences,13 Climate Action,evolutionary rescue  limit of plasticity
Integrated Climate Adaptation Service Tools  for Improving Resilience Measure Efficiency,4999999.0,2017-06-01,2017.0,2020-08-31,2020.0,Austrian Institute of Technology; Centro de Estudios y Experimentación de Obras Públicas; ZENTRALANSTALT FUR METEOROLOGIE UNDGEODYNAMIK; Cismet (Germany); WSP Sverige (Sweden); EUREKA COMUNICAZIONE TELEMATICA SRL; LANSSTYRELSEN I JONKOPINGS LAN; University of Naples Federico II; METEOGRID SL; Swedish Meteorological and Hydrological Institute; SMART CITIES CONSULTING GMBH; Atos (Spain); Agencia Estatal de Meteorología; Stockholm Municipality; INGENIERIA ESPECIALIZADA OBRA CIVIL E INDUSTRIAL SA; Comune di Napoli; ATOS IT SOLUTIONS AND SERVICES IBERIA SL; FARISA ASESORES Y CONSULTORES SL; ACCIONA CONSTRUCCION SA; STADT LINZ,Austrian Institute of Technology; Centro de Estudios y Experimentación de Obras Públicas; Cismet (Germany); WSP Sverige (Sweden); University of Naples Federico II; Swedish Meteorological and Hydrological Institute; Atos (Spain); Agencia Estatal de Meteorología; Stockholm Municipality,Austria; Spain; Germany; Sweden; Italy; Sweden; Spain; Spain; Sweden,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains",,,,,,"C13 Architecture, Built Environment and Planning",13 Climate Action,climate adaptation
A NOVEL AND INTEGRATED APPROACH TO INCREASE MULTIPLE AND COMBINED STRESS TOLERANCE IN PLANTS USING TOMATO AS A MODEL,5996175.0,2017-06-01,2017.0,2021-05-31,2021.0,"EUROPESE ORGANISATIE VOOR WETENSCHAPPELIJK PLANTENONDERZOEK E.P.S.O. IVZW; STC RESEARCH FOUNDATION; James Hutton Institute; TAMBURRINO RAFFAELE; INSTITUTUL DE CERCETARE-DEZVOLTAREPT INDUSTRIALIZAREA SI MARKETINGULPRODUSELOR HORTICOLE HORTING; Jožef Stefan Institute; AGROILLA SAT; University of Naples Federico II; STRIGOLAB SRL; University of Turin; CONFEDERAZIONE GENERALE DELL AGRICOLTURA ITALIANA; University of Bonn; National Research Council; NOVARECKON SRL; GAIA EPICHEIREIN ANONYMI ETAIREIA PSIFIAKON YPIRESION; GEOPONIKO PANEPISTIMION ATHINON; University of Nottingham; GAUTIER SEMENCES SAS; University of Milan; EDYPRO FERTILIZANTES SL; Hebrew University of Jerusalem; University of the Balearic Islands; Technion – Israel Institute of Technology; CASELLA MACCHINE AGRICOLE SRL; NEURATHER GARTNER GBR; National Research Institute for Agriculture, Food and Environment","University of Turin; James Hutton Institute; Jožef Stefan Institute; University of Naples Federico II; University of Bonn; National Research Council; University of Nottingham; University of Milan; Hebrew University of Jerusalem; University of the Balearic Islands; Technion – Israel Institute of Technology; National Research Institute for Agriculture, Food and Environment",Italy; United Kingdom; Slovenia; Italy; Germany; Italy; United Kingdom; Italy; Israel; Spain; Israel; France,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"30 Agricultural, Veterinary and Food Sciences; 3002 Agriculture, Land and Farm Management; 3004 Crop and Pasture Production; 3008 Horticultural Production",,,,,,"A06 Agriculture, Veterinary and Food Science",,tomato stress tolerance
Evolutionary rescue and the limits to phenotypic plasticity: testing theory in the field,466602.0,2017-05-31,2017.0,2021-05-30,2021.0,University of Bristol; University of Catania; Piante Faro; Bulgarian Academy of Sciences; University of Naples Federico II; French National Centre for Scientific Research,University of Bristol; University of Catania; Bulgarian Academy of Sciences; University of Naples Federico II; French National Centre for Scientific Research,United Kingdom; Italy; Bulgaria; Italy; France,Natural Environment Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 41 Environmental Sciences; 4101 Climate Change Impacts and Adaptation,Genetics,,,,,A05 Biological Sciences,13 Climate Action,evolutionary rescue  limit of plasticity
Seismology and Earthquake Engineering Research Infrastructure Alliance for Europe,10000000.0,2017-05-01,2017.0,2020-04-30,2020.0,Observatoire de la Côte d’Azur; European Centre for Training and Research in Earthquake Engineering; AGH University of Science and Technology; University of Cambridge; Université Côte d'Azur; Institutul National de Cercetare si Dezvoltare pentru Fizica Pamantului; Aristotle University of Thessaloniki; Atomic Energy and Alternative Energies Commission; University of Naples Federico II; Uppsala University; National Laboratory for Civil Engineering; Spanish National Research Council; Institut de Physique du Globe de Paris; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Institut Néel; UNITED KINGDOM RESEARCH AND INNOVATION; Bureau de Recherches Géologiques et Minières; Royal Netherlands Meteorological Institute; National Institute of Oceanography and Experimental Geophysics; ETH Zurich; Analysis and Monitoring of Environmental Risk; ASSOCIATION CENTRE SISMOLOGIQUE EURO-MEDITERRANEEN; University of Trento; University of Porto; University of Bristol; Université Gustave Eiffel; Norsar; Saints Cyril and Methodius University of Skopje; ETHNIKO ASTEROSKOPEIO ATHINON; National Institute of Geophysics and Volcanology; Boğaziçi University; Institut de Recherche pour le Développement; French National Centre for Scientific Research; University of Patras; Technical University of Madrid; University of Lisbon; University of Bergen; Institute of Geophysics; Directorate-General Joint Research Centre,ETH Zurich; Observatoire de la Côte d’Azur; European Centre for Training and Research in Earthquake Engineering; AGH University of Science and Technology; University of Cambridge; Université Côte d'Azur; Institutul National de Cercetare si Dezvoltare pentru Fizica Pamantului; Aristotle University of Thessaloniki; Atomic Energy and Alternative Energies Commission; University of Naples Federico II; Uppsala University; National Laboratory for Civil Engineering; Spanish National Research Council; Institut de Physique du Globe de Paris; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Institut Néel; Bureau de Recherches Géologiques et Minières; Royal Netherlands Meteorological Institute; National Institute of Oceanography and Experimental Geophysics; Analysis and Monitoring of Environmental Risk; University of Trento; University of Porto; University of Bristol; Université Gustave Eiffel; Norsar; Saints Cyril and Methodius University of Skopje; National Institute of Geophysics and Volcanology; Boğaziçi University; Institut de Recherche pour le Développement; French National Centre for Scientific Research; University of Patras; Technical University of Madrid; University of Lisbon; University of Bergen; Institute of Geophysics; Directorate-General Joint Research Centre,Switzerland; France; Italy; Poland; United Kingdom; France; Romania; Greece; France; Italy; Sweden; Portugal; Spain; France; Germany; France; France; Netherlands; Italy; Italy; Italy; Portugal; United Kingdom; France; Norway; North Macedonia; Italy; Turkey; France; France; Greece; Spain; Portugal; Norway; Poland; Belgium,European Commission,cOAlition S; EC & ERC - European Union,Belgium,37 Earth Sciences; 3706 Geophysics; 40 Engineering; 4005 Civil Engineering,,,,,,B07 Earth Systems and Environmental Sciences,"9 Industry, Innovation and Infrastructure",seismic risk
Vineyards´ Integrated Smart Climate Application,2793145.0,2017-05-01,2017.0,2020-12-31,2020.0,"CODORNIU SA; Euro-Mediterranean Water Information System; METEOSIM SL; SYMINGTON FAMILY ESTATES, VINHOS,SA; University of Naples Federico II; ALPHA CONSULTANTS (UK) LTD; Institute for Research and Technology in Food and Agriculture; University of Porto; LINKS Foundation; MASTROBERARDINO SOCIETA AGRICOLA SRL; Barcelona Supercomputing Center",Euro-Mediterranean Water Information System; University of Naples Federico II; Institute for Research and Technology in Food and Agriculture; University of Porto; LINKS Foundation; Barcelona Supercomputing Center,France; Italy; Spain; Portugal; Italy; Spain,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"30 Agricultural, Veterinary and Food Sciences; 3008 Horticultural Production",,,,,,C17 Business and Management Studies,13 Climate Action,smart climate control in vineyard
MICE Ionization-Cooling Demonstration,189716.0,2017-04-23,2017.0,2021-09-29,2021.0,"Rutherford Appleton Laboratory; University of Glasgow; Roma Tre University; University of Oxford; European Organization for Nuclear Research; Brookhaven National Laboratory; Cockcroft Institute; National Institute for Nuclear Physics; Brunel University London; Lawrence Berkeley National Laboratory; University of Mississippi; Argonne National Laboratory; Daresbury Laboratory; Sofia University; National Aeronautics and Space Administration; University of Naples Federico II; University of California, Los Angeles; Paul Scherrer Institute; University of Liverpool; University of Sheffield; University System of New Hampshire; National Institute for Subatomic Physics; University of Trieste; University of California, Riverside; Fermilab; Kyoto University; Budker Institute of Nuclear Physics; Muons (United States); Imperial College London; Harbin Institute of Technology; University of Iowa; University of Geneva; High Energy Accelerator Research Organization; Osaka University; Northern Illinois University","University of Glasgow; Rutherford Appleton Laboratory; Roma Tre University; University of Oxford; European Organization for Nuclear Research; Brookhaven National Laboratory; Cockcroft Institute; National Institute for Nuclear Physics; Brunel University London; Lawrence Berkeley National Laboratory; University of Mississippi; Argonne National Laboratory; Daresbury Laboratory; Sofia University; National Aeronautics and Space Administration; University of Naples Federico II; University of California, Los Angeles; Paul Scherrer Institute; University of Liverpool; University of Sheffield; University System of New Hampshire; National Institute for Subatomic Physics; University of Trieste; University of California, Riverside; Fermilab; Kyoto University; Budker Institute of Nuclear Physics; Muons (United States); Imperial College London; Harbin Institute of Technology; University of Iowa; University of Geneva; High Energy Accelerator Research Organization; Osaka University; Northern Illinois University",United Kingdom; United Kingdom; Italy; United Kingdom; Switzerland; United States; United Kingdom; Italy; United Kingdom; United States; United States; United States; United Kingdom; Bulgaria; United States; Italy; United States; Switzerland; United Kingdom; United Kingdom; United States; Netherlands; Italy; United States; United States; Japan; Russia; United States; United Kingdom; China; United States; Switzerland; Japan; Japan; United States,Science and Technology Facilities Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,B09 Physics,,ionization cooling mouse
SUrvey Network for Deep Imaging Analysis and Learning,3602484.0,2017-04-01,2017.0,2021-09-30,2021.0,CHAMBRE DE COMMERCE ET DÍNDUSTRIDE  REGION PARIS-ILE-DE-FRANCE; University of Oulu; Ghent University; ADCIS; CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION PARIS ILE-DE-FRANCE; IBM Research - Zurich; University of Birmingham; University of Naples Federico II; Heidelberg University; CLEVERFRANKE B.V.; Vicomtech; National Institute for Astrophysics; University of Groningen; Instituto de Astrofísica de Canarias; Target Holding BV,University of Groningen; University of Oulu; Ghent University; IBM Research - Zurich; University of Birmingham; University of Naples Federico II; Heidelberg University; Vicomtech; National Institute for Astrophysics; Instituto de Astrofísica de Canarias,Netherlands; Finland; Belgium; Switzerland; United Kingdom; Italy; Germany; Spain; Italy; Spain,European Commission,cOAlition S; EC & ERC - European Union,Belgium,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy,,,,,,B09 Physics,,deep imaging net
